,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
7800,0.317,Fail,30.74456781,mIVSCC-MET,0.757154612,True
7802,0.374,Fail,7.62283241,mIVSCC-MET,0.5667362570000001,True
7815,0.475,Fail,5.633127445,mIVSCC-MET,0.51049873,True
7831,0.488,Fail,4.801308505,mIVSCC-MET,0.527915779,True
7846,0.46799999999999997,Fail,23.67199038,hIVSCC-METx,0.6659655329999999,True
7847,0.27,Fail,16.0943513,mIVSCC-MET,0.556329627,True
7856,0.371,Fail,15.0630696,mIVSCC-MET,0.554052526,True
7863,0.48700000000000004,Fail,94.64122246,mIVSCC-MET,1.016413086,True
7876,0.395,Fail,12.48693271,mIVSCC-METx,0.764654559,True
7926,0.568,Fail,5.381641463999999,mIVSCC-MET,0.756850647,True
7929,0.39899999999999997,Fail,5.328103405,mIVSCC-MET,0.710563403,True
7949,0.433,Fail,3.434652928,mIVSCC-MET,0.990201911,True
7960,0.35,Fail,3.753397614,mIVSCC-MET,0.649800528,True
7983,0.42,Fail,35.15998186,hIVSCC-METx,0.604418766,True
8003,0.11800000000000001,Fail,23.54700414,mIVSCC-MET,0.558164022,True
8009,0.466,Fail,4.036949362,hIVSCC-METx,0.536220357,True
8011,0.47,Fail,24.46490681,mIVSCC-MET,0.61723494,True
8022,0.34700000000000003,Fail,7.293603704,mIVSCC-MET,0.8218419140000001,True
8032,0.34700000000000003,Fail,6.423225486000001,mIVSCC-MET,0.527652775,True
8035,0.309,Fail,23.1159573,mIVSCC-MET,0.630056894,True
8040,0.505,Fail,4.886133545,mIVSCC-MET,0.438457311,True
8050,0.6409999999999999,Fail,5.479859966,mIVSCC-MET,0.67208647,True
8051,0.626,Fail,3.78419258,mIVSCC-MET,0.423954884,True
8053,0.32899999999999996,Fail,5.7929454279999995,mIVSCC-MET,0.591001381,True
8055,0.389,Fail,3.504972445,mIVSCC-MET,0.43659010600000003,True
8057,0.237,Fail,10.29013233,mIVSCC-MET,0.458529566,True
8076,0.55,Fail,2.5820921969999997,mIVSCC-MET,0.48692354200000004,True
8077,0.406,Fail,3.365735967,mIVSCC-MET,0.484199461,True
8078,0.654,Fail,3.9321931869999998,mIVSCC-MET,0.552820409,True
8081,0.47700000000000004,Fail,3.150554552,mIVSCC-MET,0.6843546779999999,True
8090,0.4,Fail,6.505952171000001,mIVSCC-MET,0.782969282,True
8092,0.307,Fail,24.18952916,mIVSCC-MET,0.590147517,True
