date,sample_id,Data,postPatch,percent_cdna_longer_than_400bp,amplified_quantity_ng,Genes.Detected.CPM,Tree_call,marker_sum_norm_label,Total_time,Total_time_min,Total_time_bins
171010,P2S4_171010_053_A01,Production,nucleus_present,0.503,10.84623306,6119,I1,0.833889328238254,448.0,7.466666666666667,5-10
171010,P8S4_171010_352_A01,Production,nucleus_absent,0.15,13.11773252,2012,PoorQ,0.125123772590127,702.0,11.7,10-15
171010,P8S4_171010_355_A01,Production,nucleus_present,0.276,26.34468443,7833,Core,0.8628797450579929,673.0,11.216666666666667,10-15
171010,P2S4_171010_054_A01,Production,nucleus_present,0.29,35.99568060000001,7726,Core,0.844010010450705,530.0,8.833333333333334,5-10
171010,P8S4_171010_354_A01,Production,nucleus_absent,0.33299999999999996,4.2936227780000005,3290,PoorQ,0.289597570567875,354.0,5.9,5-10
171010,PBS4_171010_501_A01,Production,nucleus_present,0.45799999999999996,27.35975095,7341,Core,0.9324619390351109,717.0,11.95,10-15
171010,P2S4_171010_055_A01,Production,nucleus_absent,0.534,8.574880152,5433,I2,0.9145370777100071,403.0,6.716666666666667,5-10
171010,P8S4_171010_351_A01,Production,nucleus_absent,0.12,12.58080176,2045,PoorQ,0.145229161024126,445.0,7.416666666666667,5-10
171011,P8S4_171011_354_A01,Production,nucleus_absent,0.254,19.4237484,5060,I1,0.45239175329150605,642.0,10.7,10-15
171011,P2S4_171011_053_A01,Production,nucleus_present,0.59,19.86784358,7180,I2,1.19981556421969,545.0,9.083333333333334,5-10
171011,P2S4_171011_052_A01,Production,nucleus_absent,0.321,11.15465496,4362,PoorQ,0.15015748046129002,721.0,12.016666666666667,10-15
171011,PAS4_171011_452_A01,Production,nucleus_absent,0.63,19.6025198,7626,Core,0.53414676565549,753.0,12.55,10-15
171011,P8S4_171011_352_A01,Production,nucleus_absent,0.213,19.86719827,3542,PoorQ,0.223609725106291,592.0,9.866666666666667,5-10
171011,P8S4_171011_353_A01,Production,nucleus_present,0.441,36.61533109,8939,Core,0.7164074432582059,627.0,10.45,10-15
171011,PBS4_171011_504_A01,Production,nucleus_present,0.537,27.00675942,8010,Core,0.7917566801795649,687.0,11.45,10-15
171011,P2S4_171011_051_A01,Production,nucleus_present,0.5539999999999999,24.30819312,7862,Core,0.647424161944799,589.0,9.816666666666666,5-10
171011,PBS4_171011_501_A01,Production,nucleus_absent,0.364,5.1597651110000005,3477,PoorQ,0.371076188147832,641.0,10.683333333333334,10-15
171011,PAS4_171011_451_A01,Production,nucleus_present,0.508,7.3984758170000005,5643,I2,0.653552614244117,487.0,8.116666666666667,5-10
171011,PBS4_171011_505_A01,Production,nucleus_present,0.466,25.50087584,7227,I1,0.860556292484698,695.0,11.583333333333334,10-15
171011,P8S4_171011_356_A01,Production,nucleus_absent,0.38299999999999995,4.860690104,3403,PoorQ,0.8447628246980359,550.0,9.166666666666666,5-10
171011,P8S4_171011_355_A01,Production,nucleus_present,0.595,19.25122476,6672,Core,1.18199168430911,483.0,8.05,5-10
171012,P8S4_171012_351_A01,Production,nucleus_present,0.469,5.893677447999999,4079,PoorQ,0.24379710140069397,614.0,10.233333333333333,10-15
171012,PBS4_171012_501_A01,Production,nucleus_absent,0.414,13.7236288,7991,I2,1.03950237897063,384.0,6.4,5-10
